sample_name	birthplace	orig_seqrunid	date_startcollection	cohort	orig_tube	mouse_line	site_line	dob	host_age	host_age_units	breedpair	parity	cage	collection_sequence	collection_date	extraction_date	submission_date	group_study	representation	body_site	collection_method	line_site	origmouse_name	mouse_id	estrous_stage	Prog_high	Prog_transition	Prog_mix	Estrogen_hi	esMM	esKP	esSO	tp_days	treatment	swabGBS_CFU	VTGBS_CFU	CGBS_CFU	UGBS_CFU	VS_clearD1	VS_clearD2	VS_clearD3	VS_clearD4	VS_clearD5	VS_clearD6	VS_clearD7	Uterine_clearance	toMedian1002000	study_topic	institution	vivarium	room	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	plate_position	CST	CST_categorical
12502.0T07	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C4						vaginal community					T07									0	pHMO												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_A08	0	0
12502.0T08	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C4						vaginal community					T08									0	pHMO												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_B10	0	0
12502.0T09	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C4						vaginal community					T09									0	pHMO												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_A11	0	0
12502.0T10	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C4						vaginal community					T10									0	pHMO												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_G12	0	0
12502.0T11	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C20						vaginal community					T11									0	pHMO												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	3_C12	0	0
12502.0T12	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C20						vaginal community					T12									0	pHMO												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_E01	0	0
12502.0T13	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C20						vaginal community					T13									0	pHMO												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_G02	0	0
12502.0T14	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C20						vaginal community					T14									0	pHMO												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_E10	0	0
12502.0T15	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C20						vaginal community					T15									0	pHMO												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_D07	0	0
12502.0T16	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C21						vaginal community					T16									0	pHMO												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_F01	0	0
12502.0T17	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C21						vaginal community					T17									0	pHMO												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_F04	0	0
12502.0T18	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C21						vaginal community					T18									0	pHMO												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_D09	0	0
12502.0T19	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C21						vaginal community					T19									0	pHMO												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_D12	0	0
12502.0T20	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C21						vaginal community					T20									0	pHMO												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	3_D05	0	0
12502.0T21	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C22						vaginal community					T21									0	pHMO												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	3_A08	0	0
12502.0T22	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C22						vaginal community					T22									0	pHMO												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	3_C09	0	0
12502.0T23	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C22						vaginal community					T23									0	pHMO												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_E06	0	0
12502.0T24	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C22						vaginal community					T24									0	pHMO												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_B06	0	0
12502.0T25	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C22						vaginal community					T25									0	pHMO												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_H02	0	0
12502.0H11	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C7						vaginal community					H11									0	pHMO_GBS												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_B05	0	0
12502.0H12	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C7						vaginal community					H12									0	pHMO_GBS												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_C08	0	0
12502.0H13	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C7						vaginal community					H13									0	pHMO_GBS												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_H02	0	0
12502.0H14	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C7						vaginal community					H14									0	pHMO_GBS												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_E08	0	0
12502.0H15	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C7						vaginal community					H15									0	pHMO_GBS												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_A03	0	0
12502.0H16	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C8						vaginal community					H16									0	pHMO_GBS												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_C12	0	0
12502.0H17	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C8						vaginal community					H17									0	pHMO_GBS												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_F07	0	0
12502.0H18	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C8						vaginal community					H18									0	pHMO_GBS												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	3_B01	0	0
12502.0H19	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C8						vaginal community					H19									0	pHMO_GBS												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_F01	0	0
12502.0H20	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C8						vaginal community					H20									0	pHMO_GBS												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_G08	0	0
12502.1W05	BRF-II			pre2020		Conventional	BRF-II_Conventional		26.4	weeks		monoparous	C11						vaginal community					W05									1	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_A11	0	0
12502.1W06	BRF-II			pre2020		Conventional	BRF-II_Conventional		26.4	weeks		nulliparous	C11						vaginal community					W06									1	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_D01	0	0
12502.1W07	BRF-II			pre2020		Conventional	BRF-II_Conventional		26.4	weeks		monoparous	C12						vaginal community					W07									1	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_H09	0	0
12502.1W08	BRF-II			pre2020		Conventional	BRF-II_Conventional		26.4	weeks		nulliparous	C12						vaginal community					W08									1	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_G11	0	0
12502.1W09	BRF-II			pre2020		Conventional	BRF-II_Conventional		26.4	weeks		nulliparous	C12						vaginal community					W09									1	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_A10	0	0
12502.1W10	BRF-II			pre2020		Conventional	BRF-II_Conventional		13.1	weeks		nulliparous	C13						vaginal community					W10									1	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	3_C02	0	0
12502.1W11	BRF-II			pre2020		Conventional	BRF-II_Conventional		13.1	weeks		nulliparous	C13						vaginal community					W11									1	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_A12	0	0
12502.1W12	BRF-II			pre2020		Conventional	BRF-II_Conventional		13.1	weeks		nulliparous	C13						vaginal community					W12									1	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	3_A09	0	0
12502.1W01	BRF-II			pre2020		Conventional	BRF-II_Conventional		38	weeks		multiparous	C1						vaginal community					W01									1	WT_Nizet												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_E04	0	0
12502.1W02	BRF-II			pre2020		Conventional	BRF-II_Conventional		38	weeks		multiparous	C2						vaginal community					W02									1	WT_Nizet												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_H06	0	0
12502.1W03	BRF-II			pre2020		Conventional	BRF-II_Conventional		25.7	weeks		multiparous	C3						vaginal community					W03									1	WT_Nizet												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_B09	0	0
12502.1W04	BRF-II			pre2020		Conventional	BRF-II_Conventional		21.7	weeks		multiparous	C4						vaginal community					W04									1	WT_Nizet												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_B05	0	0
12502.3W05	BRF-II			pre2020		Conventional	BRF-II_Conventional		26.4	weeks		monoparous	C11						vaginal community					W05									3	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_A02	0	0
12502.3W06	BRF-II			pre2020		Conventional	BRF-II_Conventional		26.4	weeks		nulliparous	C11						vaginal community					W06									3	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_G05	0	0
12502.3W07	BRF-II			pre2020		Conventional	BRF-II_Conventional		26.4	weeks		monoparous	C12						vaginal community					W07									3	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_H02	0	0
12502.3W08	BRF-II			pre2020		Conventional	BRF-II_Conventional		26.4	weeks		nulliparous	C12						vaginal community					W08									3	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_D07	0	0
12502.3W09	BRF-II			pre2020		Conventional	BRF-II_Conventional		26.4	weeks		nulliparous	C12						vaginal community					W09									3	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_H04	0	0
12502.3W10	BRF-II			pre2020		Conventional	BRF-II_Conventional		13.1	weeks		nulliparous	C13						vaginal community					W10									3	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_B07	0	0
12502.3W11	BRF-II			pre2020		Conventional	BRF-II_Conventional		13.1	weeks		nulliparous	C13						vaginal community					W11									3	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_D12	0	0
12502.3W12	BRF-II			pre2020		Conventional	BRF-II_Conventional		13.1	weeks		nulliparous	C13						vaginal community					W12									3	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_E09	0	0
12502.3W01	BRF-II			pre2020		Conventional	BRF-II_Conventional		38	weeks		multiparous	C1						vaginal community					W01									3	WT_Nizet												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	3_C05	0	0
12502.3W02	BRF-II			pre2020		Conventional	BRF-II_Conventional		38	weeks		multiparous	C2						vaginal community					W02									3	WT_Nizet												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_B11	0	0
12502.3W03	BRF-II			pre2020		Conventional	BRF-II_Conventional		25.7	weeks		multiparous	C3						vaginal community					W03									3	WT_Nizet												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_F11	0	0
12502.3W04	BRF-II			pre2020		Conventional	BRF-II_Conventional		21.7	weeks		multiparous	C4						vaginal community					W04									3	WT_Nizet												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	3_A01	0	0
12502.5W05	BRF-II			pre2020		Conventional	BRF-II_Conventional		26.4	weeks		monoparous	C11						vaginal community					W05									5	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	3_A11	0	0
12502.5W06	BRF-II			pre2020		Conventional	BRF-II_Conventional		26.4	weeks		nulliparous	C11						vaginal community					W06									5	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	3_C01	0	0
12502.5W07	BRF-II			pre2020		Conventional	BRF-II_Conventional		26.4	weeks		monoparous	C12						vaginal community					W07									5	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_D10	0	0
12502.5W08	BRF-II			pre2020		Conventional	BRF-II_Conventional		26.4	weeks		nulliparous	C12						vaginal community					W08									5	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_G08	0	0
12502.5W09	BRF-II			pre2020		Conventional	BRF-II_Conventional		26.4	weeks		nulliparous	C12						vaginal community					W09									5	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_C10	0	0
12502.5W10	BRF-II			pre2020		Conventional	BRF-II_Conventional		13.1	weeks		nulliparous	C13						vaginal community					W10									5	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_F10	0	0
12502.5W11	BRF-II			pre2020		Conventional	BRF-II_Conventional		13.1	weeks		nulliparous	C13						vaginal community					W11									5	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_H04	0	0
12502.5W12	BRF-II			pre2020		Conventional	BRF-II_Conventional		13.1	weeks		nulliparous	C13						vaginal community					W12									5	WT_Bode												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_B12	0	0
12502.5W01	BRF-II			pre2020		Conventional	BRF-II_Conventional		38	weeks		multiparous	C1						vaginal community					W01									5	WT_Nizet												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_A04	0	0
12502.5W02	BRF-II			pre2020		Conventional	BRF-II_Conventional		38	weeks		multiparous	C2						vaginal community					W02									5	WT_Nizet												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_A08	0	0
12502.5W03	BRF-II			pre2020		Conventional	BRF-II_Conventional		25.7	weeks		multiparous	C3						vaginal community					W03									5	WT_Nizet												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_E03	0	0
12502.5W04	BRF-II			pre2020		Conventional	BRF-II_Conventional		21.7	weeks		multiparous	C4						vaginal community					W04									5	WT_Nizet												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	3_D08	0	0
12502.6P01	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C1						vaginal community					P01									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_B03	0	0
12502.6P02	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C1						vaginal community					P02									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_G02	0	0
12502.6P03	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C1						vaginal community					P03									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_G08	0	0
12502.6P04	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C1						vaginal community					P04									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_E02	0	0
12502.6P05	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C1						vaginal community					P05									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_B05	0	0
12502.6P06	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C2						vaginal community					P06									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_E12	0	0
12502.6P07	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C2						vaginal community					P07									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_H12	0	0
12502.6P08	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C2						vaginal community					P08									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_E01	0	0
12502.6P09	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C2						vaginal community					P09									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_B03	0	0
12502.6P10	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks			C2						vaginal community					P10									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_C05	0	0
12502.6P11	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C17						vaginal community					P11									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_F01	0	0
12502.6P12	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C17						vaginal community					P12									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_H03	0	0
12502.6P13	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C17						vaginal community					P13									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_G04	0	0
12502.6P14	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C17						vaginal community					P14									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_C10	0	0
12502.6P15	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C17						vaginal community					P15									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	3_C11	0	0
12502.6P16	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C18						vaginal community					P16									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	3_B12	0	0
12502.6P17	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C18						vaginal community					P17									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_G12	0	0
12502.6P18	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C18						vaginal community					P18									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_B11	0	0
12502.6P19	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C18						vaginal community					P19									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_G11	0	0
12502.6P20	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C18						vaginal community					P20									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_G07	0	0
12502.6P21	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C19						vaginal community					P21									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_E01	0	0
12502.6P22	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C19						vaginal community					P22									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_G08	0	0
12502.6P23	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C19						vaginal community					P23									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	2_E06	0	0
12502.6P24	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C19						vaginal community					P24									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	1_D11	0	0
12502.6P25	Jackson Labs			pre2020		Conventional	Jackson Labs_Conventional		8	weeks		nulliparous	C19						vaginal community					P25									6	Control												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	3_C08	0	0
12502.0Blank2	not applicable			pre2020					not applicable	not applicable			not applicable						blank					not applicable									not applicable	not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	1_H11	none	none
12502.0Blank3	not applicable			pre2020					not applicable	not applicable		not applicable	not applicable						blank					not applicable									not applicable	not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	1_F10	none	none
12502.1Blank2	not applicable			pre2020					not applicable	not applicable			not applicable						blank					not applicable									not applicable	not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	1_E10	none	none
12502.1Blank3	not applicable			pre2020					not applicable	not applicable		not applicable	not applicable						blank					not applicable									not applicable	not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	1_F07	none	none
12502.1Blank3KO	not applicable			pre2020					not applicable	not applicable		not applicable	not applicable						blank					not applicable									not applicable	not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSD			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2_C04	none	none
